GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Core,fr.emn.criojo.util,Logger.,139,37,2,0,14,8,20,4,19,4
Core,fr.emn.criojo.util,Logger,80,0,0,0,0,0,20,0,20,0
Core,fr.emn.criojo.util,Logger..anonfun.log.new Serializable() {...},35,0,0,0,2,0,5,0,5,0
Core,fr.emn.criojo.ext.expression.ScalaString.operation,AddScalaString,149,64,23,0,1,5,34,8,22,8
Core,fr.emn.criojo.ext.expression.ScalaString.operation,LengthScalaString.,32,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaString.operation,EqualScalaString,151,62,26,3,1,5,35,8,21,7
Core,fr.emn.criojo.ext.expression.ScalaString.operation,LengthScalaString,133,55,16,0,1,4,30,10,22,10
Core,fr.emn.criojo.ext.expression.ScalaString.operation,EqualScalaString.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaString.operation,AddScalaString.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaBoolean.constructor,WrapScalaBoolean,94,62,13,5,5,3,27,8,18,8
Core,fr.emn.criojo.ext.expression.ScalaBoolean.constructor,WrapScalaBoolean.,33,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaBoolean,ScalaBoolean.class,8,28,1,1,2,6,2,5,1,5
Core,fr.emn.criojo.ext.expression.ScalaBoolean,VarScalaBoolean,128,0,16,0,2,0,28,0,20,0
Core,fr.emn.criojo.ext.expression.ScalaBoolean,VarScalaBoolean.,58,0,2,0,6,0,10,0,9,0
Core,fr.emn.criojo.lang,Nu.,32,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.lang,ChamGuard..anon.new ChamGuard() {...},16,0,0,0,1,0,3,0,3,0
Core,fr.emn.criojo.lang,ChamGuard..anon.new ChamGuard() {...},8,8,0,0,0,1,2,1,2,1
Core,fr.emn.criojo.lang,Cham..anon.new ChamGuard() {...},8,8,0,0,0,1,2,1,2,1
Core,fr.emn.criojo.lang,Cham..anon.new ChamGuard() {...},4,12,0,0,0,1,1,2,1,2
Core,fr.emn.criojo.lang,Cham..anon.new ChamGuard() {...},8,7,0,0,0,1,2,1,2,1
Core,fr.emn.criojo.lang,Cham..anon.new ChamGuard() {...},4,12,0,0,0,1,1,2,1,2
Core,fr.emn.criojo.lang,Molecule..anonfun.new Serializable() {...},4,34,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.lang,Molecule..anonfun.new Serializable() {...},38,0,2,0,1,0,5,0,4,0
Core,fr.emn.criojo.lang,Molecule.,5,41,1,3,0,7,1,5,0,4
Core,fr.emn.criojo.lang,Molecule..anonfun.new Serializable() {...},42,0,2,0,1,0,5,0,4,0
Core,fr.emn.criojo.lang,Cham.RuleBody.,5,0,0,0,1,0,2,0,2,0
Core,fr.emn.criojo.lang,.amp.colon,156,58,25,0,4,4,31,13,18,13
Core,fr.emn.criojo.lang,.amp.colon.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.lang,Cham,125,170,14,0,8,12,18,34,11,34
Core,fr.emn.criojo.lang,Molecule.class,65,94,9,3,8,13,9,7,3,7
Core,fr.emn.criojo.lang,Nu,124,0,16,0,5,0,24,0,16,0
Core,fr.emn.criojo.lang,Cham.RuleBody,27,0,2,0,1,0,5,0,4,0
Core,fr.emn.criojo.lang,Empty.,87,21,0,0,5,3,24,4,24,4
Core,fr.emn.criojo.lang,Cham..anonfun.introduceMolecule.new Serializable() {...},4,23,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.lang,Cham.,0,27,0,0,0,4,0,5,0,5
Core,fr.emn.criojo.lang,CrjAtom,56,0,0,0,4,0,15,0,15,0
Core,fr.emn.criojo.lang,Empty,81,0,0,0,0,0,23,0,23,0
Core,fr.emn.criojo.lang,Molecule..anonfun..minus.minus.greater.new Serializable() {...},4,38,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.lang,ChamGuard.class,6,7,0,0,1,2,1,2,1,2
Core,fr.emn.criojo.lang,Applicable.class,8,0,0,0,2,0,2,0,2,0
Core,fr.emn.criojo.ext.expression.ScalaBoolean.operation,NotScalaBoolean,143,43,20,2,7,4,29,7,19,6
Core,fr.emn.criojo.ext.expression.ScalaBoolean.operation,NotScalaBoolean.,32,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaBoolean.operation,AndScalaBoolean,201,50,32,3,7,5,40,6,23,5
Core,fr.emn.criojo.ext.expression.ScalaBoolean.operation,OrScalaBoolean,193,58,31,4,7,5,37,9,21,7
Core,fr.emn.criojo.ext.expression.ScalaBoolean.operation,OrScalaBoolean.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaBoolean.operation,AndScalaBoolean.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.ext.expression.ScalaList,ScalaList.class,8,17,1,1,2,4,2,3,1,3
Core,fr.emn.criojo.ext.expression.ScalaList,NoValueDefined,3,0,0,0,1,0,1,0,1,0
Core,fr.emn.criojo.core,NormalRule..anonfun.applyReaction.1..anonfun.apply.new Serializable() {...},4,30,1,1,0,3,1,4,0,4
Core,fr.emn.criojo.core,PresenceGuard,131,42,23,0,1,5,28,4,16,4
Core,fr.emn.criojo.core,RuleFactory.class,11,1,0,0,1,1,1,1,1,1
Core,fr.emn.criojo.core,Converters,52,0,0,0,0,0,13,0,13,0
Core,fr.emn.criojo.core,NormalRule..anonfun.applyReaction.new Serializable() {...},4,28,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.core,NormalRule..anonfun.applyReaction.new Serializable() {...},4,33,1,1,0,3,1,5,0,5
Core,fr.emn.criojo.core,Combinatory,37,118,11,13,4,19,12,15,5,10
Core,fr.emn.criojo.core,Converters.,58,54,7,1,12,12,9,10,5,10
Core,fr.emn.criojo.core,NormalCham,61,100,4,0,0,2,10,25,8,25
Core,fr.emn.criojo.core,NormalEngine..anonfun.introduceAtom.new Serializable() {...},0,21,0,0,0,1,0,4,0,4
Core,fr.emn.criojo.core,AbsGuard,128,16,25,0,2,2,24,4,11,4
Core,fr.emn.criojo.core,OrGuard.,40,0,2,0,1,0,8,0,7,0
Core,fr.emn.criojo.core,Solution,15,74,0,2,1,9,3,6,3,5
Core,fr.emn.criojo.core,NormalRule..anonfun.flattenCombination.1.new Serializable() {...},5,31,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.core,ExistsGuard..anonfun.gamma.new Serializable() {...},19,12,1,1,1,1,3,2,2,2
Core,fr.emn.criojo.core,ExistsGuard,153,58,24,1,4,5,29,5,16,5
Core,fr.emn.criojo.core,Atom,112,203,12,17,8,21,35,20,26,14
Core,fr.emn.criojo.core,Combinatory..anonfun.from.new Serializable() {...},0,48,0,4,0,7,0,6,0,4
Core,fr.emn.criojo.core,Combinatory.,7,41,0,0,1,6,2,4,2,4
Core,fr.emn.criojo.core,PresenceGuard..anonfun.valuations.1..anonfun.new Serializable() {...},0,25,0,0,0,3,0,4,0,4
Core,fr.emn.criojo.core,PartialState..anonfun.4..anonfun.apply.new Serializable() {...},5,46,2,4,1,3,2,5,0,4
Core,fr.emn.criojo.core,NormalRule..anonfun.findOneCombination.new Serializable() {...},0,23,0,0,0,2,0,4,0,4
Core,fr.emn.criojo.core,NormalRule..anonfun.findOneCombination.new Serializable() {...},1,22,1,1,0,1,1,4,0,4
Core,fr.emn.criojo.core,EmptyGuard.,2,10,0,0,1,2,1,3,1,3
Core,fr.emn.criojo.core,ExistsGuard..anonfun.new Serializable() {...},29,0,2,0,1,0,5,0,4,0
